date,home,away,mkt_home,mkt_draw,mkt_away,result,score
2026-06-11,Mexico,South Africa,0.695,0.205,0.105,home,2-0
2026-06-11,South Korea,Czech Republic,0.375,0.315,0.315,home,2-1
2026-06-12,Canada,Bosnia and Herzegovina,0.535,0.275,0.19,draw,1-1
2026-06-12,United States,Paraguay,0.465,0.295,0.235,home,4-1
2026-06-13,Qatar,Switzerland,0.059,0.125,0.825,draw,1-1
2026-06-13,Brazil,Morocco,0.585,0.255,0.165,draw,1-1
2026-06-13,Haiti,Scotland,0.165,0.205,0.615,away,0-1
2026-06-13,Australia,Turkey,0.175,0.255,0.565,home,2-0
2026-06-14,Germany,Curaçao,0.946,0.035,0.024,home,7-1
2026-06-14,Ivory Coast,Ecuador,0.275,0.335,0.385,home,1-0
2026-06-14,Netherlands,Japan,0.455,0.285,0.265,draw,2-2
2026-06-14,Sweden,Tunisia,0.505,0.285,0.205,home,5-1
2026-06-15,Belgium,Egypt,0.635,0.235,0.145,draw,1-1
2026-06-15,Iran,New Zealand,0.535,0.275,0.195,draw,2-2
2026-06-15,Spain,Cape Verde,0.925,0.052,0.022,draw,0-0
2026-06-15,Saudi Arabia,Uruguay,0.115,0.215,0.675,draw,1-1
2026-06-16,France,Senegal,0.675,0.215,0.125,home,3-1
2026-06-16,Iraq,Norway,0.065,0.135,0.805,away,1-4
2026-06-16,Argentina,Algeria,0.645,0.225,0.125,home,3-0
2026-06-16,Austria,Jordan,0.695,0.195,0.105,home,3-1
2026-06-17,Portugal,DR Congo,0.765,0.165,0.075,draw,1-1
2026-06-17,Uzbekistan,Colombia,0.095,0.195,0.715,away,1-3
2026-06-17,England,Croatia,0.575,0.255,0.175,home,4-2
2026-06-17,Ghana,Panama,0.405,0.305,0.295,home,1-0
2026-06-18,Czech Republic,South Africa,0.535,0.265,0.205,draw,1-1
2026-06-18,Mexico,South Korea,0.475,0.295,0.235,home,1-0
2026-06-18,Switzerland,Bosnia and Herzegovina,0.625,0.235,0.14,home,4-1
2026-06-18,Canada,Qatar,0.755,0.165,0.085,home,6-0
2026-06-19,Scotland,Morocco,0.155,0.265,0.595,away,0-1
2026-06-19,Brazil,Haiti,0.885,0.076,0.043,home,3-0
2026-06-19,United States,Australia,0.595,0.225,0.185,home,2-0
2026-06-19,Turkey,Paraguay,0.485,0.285,0.235,away,0-1
